url,energy,heating,price,area,rooms,fee,zipcode,construction_year,level
https://www.immowelt.de/expose/28v5s5y,Fernwärme,Zentralheizung,439.000 €,"61,65 m²",2,3.57,10711,1911,1
https://www.immowelt.de/expose/286st5x,Gas,Etagenheizung,208.000 €,"42,40 m²",1,prov,13403,1906-1910,3
https://www.immowelt.de/expose/28aqr5x,na,na,359.000 €,"90,11 m²",3,3.57,10315,1920,rassenwohnungWohnungslageErdgeschossDerzeitige Nutzungvermietet
https://www.immowelt.de/expose/283fy5w,na,na,486.048 €,"101,26 m²",4,17.3,10713,1985,2
https://www.immowelt.de/expose/283jx5v,Gas,Etagenheizung,395.000 €,"62,16 m²",2,3.57,10435,1895,2
https://www.immowelt.de/expose/28rjd5u,Gas,Zentralheizung,598.000 €,"90,76 m²",3,prov,10439,na,3
https://www.immowelt.de/expose/288m75u,Gas,Zentralheizung,595.000 €,"112,05 m²",4,3.57,12555,2016,ErdgeschossBezugsofort
https://www.immowelt.de/expose/28vvt5r,Gas,Zentralheizung,620.000 €,"95,76 m²",3,prov,10439,1908,3
https://www.immowelt.de/expose/287vt5r,Gas,Zentralheizung,499.000 €,"70,85 m²",2,prov,10439,na,2
https://www.immowelt.de/expose/28g4n5r,Gas,Zentralheizung,418.000 €,"56,50 m²",2,prov,10439,na,Erdgeschoss
https://www.immowelt.de/expose/28qee5r,na,na,290.000 €,"69,04 m²",2,prov,12351,1992,Erdgeschoss
https://www.immowelt.de/expose/28vqr5n,na,na,385.000 €,"80,13 m²",3,3.57,10713,1985,2
https://www.immowelt.de/expose/28kaj5h,na,na,498.000 €,74 m²,2,3.57,10717,1900,4
https://www.immowelt.de/expose/28eaj5h,na,na,269.000 €,42 m²,1,3.57,10717,1900,4
https://www.immowelt.de/expose/286rz5f,na,na,325.000 €,"68,53 m²",2,prov,13351,na,3
https://www.immowelt.de/expose/28x6s5e,na,na,629.000 €,83 m²,3,3.57,10709,1912,Erdgeschoss
https://www.immowelt.de/expose/285m45e,na,na,320.000 €,"50,45 m²",2,prov,13351,na,Erdgeschoss
https://www.immowelt.de/expose/28vpt5z,Öl,Zentralheizung,165.000 €,38 m²,1,Käuf,14195,1970,ErdgeschossDerzeitige Nutzungvermietet
https://www.immowelt.de/expose/28gf55c,Fernwärme,Zentralheizung,319.062 €,"77,49 m²",3,3.57,10247,1900,2
https://www.immowelt.de/expose/28sc55c,Fernwärme,Zentralheizung,148.461 €,"36,09 m²",1,3.57,10247,1900,1
https://www.immowelt.de/expose/28ufk59,Gas,Zentralheizung,268.000 €,"43,43 m²",1,Bitt,12105,1973,3
https://www.immowelt.de/expose/2893t53,na,na,2.864.800 €,"252,77 m²",5,prov,10557,2023,3
https://www.immowelt.de/expose/27gce5w,Fernwärme,Zentralheizung,498.000 €,"73,79 m²",3,prov,10117,1972,4
https://www.immowelt.de/expose/27bce5w,na,na,359.000 €,"61,33 m²",3,prov,10369,na,4
https://www.immowelt.de/expose/276ce5w,na,na,799.000 €,"99,65 m²",4,prov,13585,Neubau,3
https://www.immowelt.de/expose/27tbe5w,na,na,229.000 €,"51,58 m²",2,prov,10319,1964,na
https://www.immowelt.de/expose/2p4bf4w,Fernwärme,"Fußbodenheizung, offener ",1.799.000 €,"146,50 m²",3,prov,14199,2022,thouseWohnungslage4
https://www.immowelt.de/expose/27prv5u,Fernwärme,Zentralheizung,528.000 €,"73,90 m²",2,2.98,12435,1900,sonetteWohnungslage4
https://www.immowelt.de/expose/27agr5u,Öl,Zentralheizung,470.000 €,"93,55 m²",3,3.57,12109,1978,1
https://www.immowelt.de/expose/275h75u,na,na,229.000 €,"54,02 m²",2,3.57,12055,1905,utzungvermietet
https://www.immowelt.de/expose/28ftz5f,na,na,305.000 €,"63,74 m²",2,prov,13351,na,2
https://www.immowelt.de/expose/273gh5m,na,na,229.000 €,"41,25 m²",1,3.57,10713,1960,3
https://www.immowelt.de/expose/28w4x5f,na,na,450.000 €,"108,14 m²",3,prov,12169,1909,3
https://www.immowelt.de/expose/27lry5q,na,na,888.000 €,"121,84 m²",4,prov,10439,na,1
https://www.immowelt.de/expose/27h845g,Gas,Fußbodenheizung,520.000 €,"122,76 m²",4,3.57,12557,1997,ErdgeschossBezugsofort
https://www.immowelt.de/expose/26cwv5y,na,na,260.000 €,47 m²,2,3.57,14193,1958,ErdgeschossDerzeitige Nutzungvermietet
https://www.immowelt.de/expose/27ks55n,Gas,Zentralheizung,399.000 €,"59,34 m²",2,3.57,12105,2022,3
https://www.immowelt.de/expose/25zdp5x,Fernwärme,Zentralheizung,479.000 €,"106,30 m²",5,prov,10178,1966,5
https://www.immowelt.de/expose/25e2p5h,Öl,Zentralheizung,169.000 €,41 m²,1,3.57,10779,1961,utzungvermietet
https://www.immowelt.de/expose/246bk5y,Gas,Zentralheizung,255.000 €,73 m²,2,3.57,12559,1978,3
https://www.immowelt.de/expose/247qp5r,na,na,597.000 €,58 m²,2,prov,10781,na,Erdgeschoss
https://www.immowelt.de/expose/2zqbe44,na,na,4.390.000 €,"302,58 m²",5,3.57,10777,Wellness:,dachbodenWohnungslageErdgeschoss
https://www.immowelt.de/expose/29bht5u,Fernwärme,Zentralheizung,510.000 €,"66,61 m²",2,prov,10587,1905,ErdgeschossBezugnach Vereinbarung
https://www.immowelt.de/expose/29hkn5u,na,na,629.000 €,90 m²,4,3.57,10629,1908,
https://www.immowelt.de/expose/29qtk5u,na,na,297.000 €,75 m²,3,3.57,13591,1995,utzungfrei
https://www.immowelt.de/expose/299sb5u,Gas,Zentralheizung,515.400 €,"89,63 m²",3,Prov,10715,1898,2
https://www.immowelt.de/expose/29eda5u,Gas,Zentralheizung,320.000 €,"70,50 m²",3,2.97,12203,1967,1
https://www.immowelt.de/expose/29ap95u,Fernwärme,Zentralheizung,396.000 €,54 m²,2,prov,13189,1930,rtmentWohnungslage3
https://www.immowelt.de/expose/29sn95u,Fernwärme,Zentralheizung,480.000 €,55 m²,2,prov,10249,1958,rtmentWohnungslage4
https://www.immowelt.de/expose/29bn95u,na,na,498.000 €,66 m²,3,prov,14167,1938,5
https://www.immowelt.de/expose/292785u,na,na,250.000 €,64 m²,2,3.57,10551,na,utzungvermietet
https://www.immowelt.de/expose/29c8m5t,na,na,359.000 €,64 m²,3,3.57,14089,Tiefgarage,utzungfrei
https://www.immowelt.de/expose/29t8l5t,Gas,Etagenheizung,399.000 €,85 m²,3,prov,10407,1901,Erdgeschoss
https://www.immowelt.de/expose/29jsj5t,Fernwärme,Zentralheizung,229.585 €,"62,05 m²",2,3.57,10245,1910,utzungvermietet
https://www.immowelt.de/expose/29jxd5t,na,na,426.000 €,96 m²,4,3.57,12057,1939,4
https://www.immowelt.de/expose/29vjj5t,na,na,629.000 €,"53,57 m²",2,prov,10317,2024,Erdgeschoss
https://www.immowelt.de/expose/29ncj5t,na,na,288.000 €,"31,19 m²",1,prov,10317,2024,1
https://www.immowelt.de/expose/29haj5t,na,na,259.000 €,"29,84 m²",1,prov,10317,2024,1
https://www.immowelt.de/expose/2z5yd4p,Fernwärme,Zentralheizung,210.000 €,39 m²,2,prov,13585,1957,rtmentWohnungslage4
